timestamp,usuario_id,evento,detalles
2025-10-07 19:10:28,1,create_admin,Admin admin creado
2025-10-08 01:56:43,1,login,Usuario admin inició sesión
2025-10-08 01:57:27,1,logout,Usuario admin cerró sesión
2025-10-08 01:57:47,1,login,Usuario admin inició sesión
2025-10-08 02:02:53,1,logout,Usuario admin cerró sesión
2025-10-08 02:03:16,2,login,Usuario carlos inició sesión
2025-10-08 09:51:20,1,login,Usuario admin inició sesión
2025-10-08 10:11:13,1,logout,Usuario admin cerró sesión
2025-10-08 10:19:10,1,login,Usuario admin inició sesión
2025-10-08 12:03:09,1,logout,Usuario admin cerró sesión
2025-10-08 12:03:18,2,login,Usuario carlos inició sesión
2025-10-08 15:51:40,2,logout,Usuario carlos cerró sesión
2025-10-08 15:51:49,1,login,Usuario admin inició sesión
